Kodak Storyshare,application/vnd.kodak-descriptor,.sse,IANA: Kodak Storyshare,application,.sse
Laser App Enterprise,application/vnd.las.las+xml,.lasxml,IANA: Laser App Enterprise,application,.lasxml
LaTeX,application/x-latex,.latex,Wikipedia: LaTeX,application,.latex
Life Balance - Desktop Edition,application/vnd.llamagraphics.life-balance.desktop,.lbd,IANA: Life Balance,application,.lbd
Life Balance - Exchange Format,application/vnd.llamagraphics.life-balance.exchange+xml,.lbe,IANA: Life Balance,application,.lbe
Lightspeed Audio Lab,application/vnd.jam,.jam,IANA: Lightspeed Audio Lab,application,.jam
Lotus 1-2-3,application/vnd.lotus-1-2-3,0.123,IANA: Lotus 1-2-3,application,0.123
Lotus Approach,application/vnd.lotus-approach,.apr,IANA: Lotus Approach,application,.apr
Lotus Freelance,application/vnd.lotus-freelance,.pre,IANA: Lotus Freelance,application,.pre
Lotus Notes,application/vnd.lotus-notes,.nsf,IANA: Lotus Notes,application,.nsf
Lotus Organizer,application/vnd.lotus-organizer,.org,IANA: Lotus Organizer,application,.org
Lotus Screencam,application/vnd.lotus-screencam,.scm,IANA: Lotus Screencam,application,.scm
Lotus Wordpro,application/vnd.lotus-wordpro,.lwp,IANA: Lotus Wordpro,application,.lwp
Lucent Voice,audio/vnd.lucent.voice,.lvp,IANA: Lucent Voice,audio,.lvp
M3U (Multimedia Playlist),audio/x-mpegurl,.m3u,Wikipedia: M3U,audio,.m3u
M4v,video/x-m4v,.m4v,Wikipedia: M4v,video,.m4v
Macintosh BinHex 4.0,application/mac-binhex40,.hqx,MacMIME,application,.hqx
MacPorts Port System,application/vnd.macports.portpkg,.portpkg,IANA: MacPorts Port System,application,.portpkg
